session_id,user_id,content_id,watch_date,watch_duration_minutes,completion_percentage,device_type,quality_level
S000211,U0006,M080,2024-08-15,86,87.7,Smart TV,HD
S000212,U0007,S033,2024-06-10,4,15.6,Smart TV,HD
S000213,U0007,M188,2024-01-22,81,71.3,Smart TV,HD
S000214,U0007,M193,2024-02-14,38,42.8,Mobile,HD
S000215,U0007,M165,2024-07-18,89,58.7,Tablet,HD
S000216,U0007,S062,2024-01-20,23,43.6,Mobile,HD
S000217,U0007,M023,2024-01-05,35,24.2,Smart TV,HD
S000218,U0007,M132,2024-06-04,101,96.0,Desktop,HD
S000219,U0007,M126,2024-05-30,105,94.5,Mobile,HD
S000220,U0007,M130,2024-02-18,73,53.3,Mobile,SD
S000221,U0007,S096,2024-06-06,39,65.8,Tablet,HD
S000222,U0007,M190,2024-05-19,118,100.0,Mobile,SD
S000223,U0007,M010,2024-02-21,48,28.0,Desktop,4K
S000224,U0007,S056,2024-02-05,15,26.9,Mobile,HD
S000225,U0007,M024,2024-01-01,149,93.7,Smart TV,4K
S000226,U0007,S067,2024-07-07,13,22.2,Tablet,4K
S000227,U0007,M063,2024-01-10,92,88.6,Mobile,HD
S000228,U0007,S006,2024-03-28,15,50.6,Smart TV,HD
S000229,U0007,M086,2024-07-28,64,49.6,Mobile,HD
S000230,U0007,M112,2024-02-10,167,100.0,Mobile,HD
S000231,U0007,M120,2024-03-26,103,99.1,Desktop,4K
S000232,U0007,S068,2024-07-24,8,35.5,Desktop,4K
S000233,U0007,M103,2024-03-04,108,69.5,Smart TV,SD
S000234,U0007,M096,2024-05-18,85,100.0,Smart TV,HD
S000235,U0007,M025,2024-04-24,22,14.0,Smart TV,4K
S000236,U0007,M073,2024-02-10,26,18.7,Mobile,HD
S000237,U0007,S024,2024-03-31,28,58.6,Desktop,4K
S000238,U0007,M048,2024-07-20,104,100.0,Mobile,4K
S000239,U0007,M031,2024-01-08,99,95.5,Smart TV,HD
S000240,U0007,M001,2024-02-03,117,65.5,Mobile,SD
S000241,U0007,M118,2024-02-04,123,100.0,Mobile,4K
S000242,U0007,M184,2024-05-11,82,98.2,Mobile,SD
S000243,U0007,S034,2024-05-22,15,56.6,Gaming Console,HD
S000244,U0007,M154,2024-07-07,20,25.9,Mobile,HD
S000245,U0007,M181,2024-03-28,71,56.4,Mobile,HD
S000246,U0007,M117,2024-08-14,88,52.3,Mobile,HD
S000247,U0007,S074,2024-04-28,47,100.0,Mobile,SD
S000248,U0007,S077,2024-04-05,13,57.9,Mobile,4K
S000249,U0007,M189,2024-07-23,51,57.5,Tablet,4K
S000250,U0007,M085,2024-02-12,75,50.0,Mobile,SD
S000251,U0007,S057,2024-06-18,14,63.3,Desktop,HD
S000252,U0007,M190,2024-04-03,70,59.6,Tablet,4K
S000253,U0007,M035,2024-06-10,25,22.6,Smart TV,4K
S000254,U0007,M070,2024-07-14,49,28.7,Desktop,HD
S000255,U0007,M156,2024-06-29,126,72.2,Tablet,SD
S000256,U0007,M050,2024-05-13,61,64.0,Smart TV,SD
S000257,U0007,M060,2024-03-11,92,75.9,Smart TV,HD
S000258,U0008,S008,2024-02-09,24,86.2,Smart TV,4K
S000259,U0008,M054,2024-05-14,75,76.8,Tablet,HD
S000260,U0008,M151,2024-06-07,75,51.6,Tablet,HD
S000261,U0008,M085,2024-08-14,146,97.4,Smart TV,4K
S000262,U0008,M170,2024-08-17,125,100.0,Smart TV,HD
S000263,U0008,S051,2024-01-10,20,87.4,Mobile,HD
S000264,U0008,S030,2024-03-15,53,92.1,Tablet,SD
S000265,U0008,M002,2024-01-23,137,93.9,Mobile,HD
S000266,U0008,S050,2024-01-21,39,100.0,Gaming Console,SD
S000267,U0008,M063,2024-02-21,84,81.3,Smart TV,HD
S000268,U0008,M197,2024-06-04,119,76.0,Tablet,HD
S000269,U0008,M090,2024-04-07,86,100.0,Smart TV,SD
S000270,U0008,M150,2024-02-04,100,82.5,Mobile,HD
S000271,U0008,S003,2024-03-25,26,60.1,Mobile,SD
S000272,U0008,M026,2024-08-08,27,16.8,Smart TV,HD
S000273,U0008,M077,2024-08-23,82,81.5,Tablet,SD
S000274,U0008,M017,2024-04-09,81,84.0,Mobile,SD
S000275,U0008,S080,2024-04-06,33,97.6,Tablet,4K
S000276,U0008,S093,2024-02-23,39,84.6,Mobile,HD
S000277,U0008,M074,2024-06-16,146,100.0,Tablet,4K
S000278,U0008,S038,2024-01-30,51,98.6,Mobile,SD
S000279,U0008,M196,2024-08-14,61,61.3,Tablet,HD
S000280,U0008,M024,2024-02-13,105,66.5,Mobile,HD
S000281,U0008,M120,2024-05-30,74,71.3,Smart TV,HD
S000282,U0008,M067,2024-06-21,76,60.6,Desktop,HD
S000283,U0008,S034,2024-01-07,27,100.0,Smart TV,HD
S000284,U0008,S068,2024-01-05,23,92.5,Mobile,HD
S000285,U0008,M040,2024-07-30,112,65.6,Mobile,HD
S000286,U0008,M132,2024-05-04,105,99.1,Mobile,HD
S000287,U0008,S021,2024-01-14,41,92.7,Mobile,SD
S000288,U0008,M025,2024-07-03,152,94.4,Tablet,4K
S000289,U0008,M068,2024-08-06,156,92.4,Smart TV,HD
S000290,U0008,S068,2024-04-22,11,45.5,Smart TV,4K
S000291,U0008,M063,2024-02-24,104,100.0,Smart TV,4K
S000292,U0008,M155,2024-01-12,93,81.0,Mobile,HD
S000293,U0008,S036,2024-08-05,25,71.8,Mobile,SD
S000294,U0008,S050,2024-08-30,33,85.3,Smart TV,4K
S000295,U0008,M194,2024-06-06,58,55.3,Tablet,SD
S000296,U0008,M132,2024-08-03,106,100.0,Mobile,SD
S000297,U0008,S041,2024-03-17,32,94.7,Mobile,HD
S000298,U0009,M141,2024-06-18,118,80.5,Mobile,HD
S000299,U0009,S059,2024-07-14,27,100.0,Tablet,SD
S000300,U0009,M077,2024-07-06,67,66.4,Smart TV,SD
S000301,U0009,M097,2024-06-09,131,100.0,Gaming Console,HD
S000302,U0009,S037,2024-07-06,35,91.4,Tablet,HD
S000303,U0009,M157,2024-03-19,99,97.3,Mobile,HD
S000304,U0009,S019,2024-06-05,26,67.0,Mobile,SD
S000305,U0009,M041,2024-01-27,108,92.5,Tablet,HD
S000306,U0009,M136,2024-05-23,15,15.2,Mobile,SD
S000307,U0009,M113,2024-04-03,75,43.4,Tablet,HD
S000308,U0009,S069,2024-07-09,43,89.4,Desktop,HD
S000309,U0009,M070,2024-03-16,171,100.0,Smart TV,SD
S000310,U0009,S036,2024-04-14,30,88.2,Tablet,4K
S000311,U0009,S014,2024-05-02,44,73.7,Smart TV,4K
S000312,U0009,M005,2024-07-09,95,56.7,Tablet,HD
S000313,U0009,S051,2024-07-19,14,63.9,Mobile,SD
S000314,U0009,S074,2024-04-28,47,100.0,Mobile,4K
S000315,U0009,M193,2024-04-15,84,93.8,Mobile,SD
S000316,U0009,M028,2024-02-15,103,59.1,Tablet,HD
S000317,U0009,S012,2024-01-28,27,82.1,Mobile,SD
S000318,U0009,S018,2024-01-25,24,65.6,Tablet,4K
S000319,U0009,M021,2024-06-30,148,100.0,Mobile,HD
S000320,U0009,S022,2024-07-09,11,30.7,Smart TV,HD
S000321,U0009,M125,2024-06-14,137,83.6,Mobile,HD
S000322,U0009,M029,2024-04-05,96,78.6,Smart TV,4K
S000323,U0009,M009,2024-05-29,76,85.5,Smart TV,HD
S000324,U0009,M085,2024-08-03,150,100.0,Desktop,HD
S000325,U0009,M134,2024-03-14,13,10.0,Mobile,HD
S000326,U0009,M029,2024-08-29,110,89.4,Mobile,HD
S000327,U0009,M141,2024-06-06,134,91.4,Smart TV,HD
S000328,U0009,M007,2024-02-19,130,95.6,Tablet,HD
S000329,U0009,M050,2024-01-30,69,72.3,Desktop,4K
S000330,U0009,M043,2024-05-09,127,94.9,Mobile,HD
S000331,U0009,S078,2024-07-05,23,92.1,Desktop,HD
S000332,U0009,M085,2024-04-09,87,58.4,Mobile,HD
S000333,U0009,M015,2024-03-29,171,97.1,Smart TV,4K
S000334,U0009,S086,2024-03-14,36,63.5,Tablet,SD
S000335,U0009,S046,2024-07-08,18,89.7,Smart TV,SD
S000336,U0009,M132,2024-05-15,102,96.5,Smart TV,4K
S000337,U0009,M135,2024-01-21,143,83.2,Smart TV,HD
S000338,U0009,M058,2024-05-27,134,77.6,Smart TV,4K
S000339,U0009,M009,2024-08-28,78,87.1,Mobile,SD
S000340,U0009,M105,2024-02-02,78,75.3,Desktop,4K
S000341,U0009,S029,2024-05-19,36,87.8,Tablet,HD
S000342,U0009,M077,2024-02-01,91,90.5,Gaming Console,HD
S000343,U0009,M136,2024-04-04,70,70.6,Mobile,HD
S000344,U0009,M033,2024-03-05,83,70.3,Smart TV,HD
S000345,U0009,M015,2024-05-07,141,80.0,Desktop,HD
S000346,U0009,S082,2024-07-29,44,95.7,Mobile,HD
S000347,U0009,M144,2024-06-10,69,62.4,Desktop,4K
S000348,U0009,M050,2024-08-21,55,58.3,Smart TV,HD
S000349,U0009,M126,2024-04-12,105,94.0,Smart TV,SD
S000350,U0009,M197,2024-06-04,20,13.3,Mobile,HD
S000351,U0009,M169,2024-02-21,15,10.2,Desktop,SD
S000352,U0009,S001,2024-03-06,27,55.6,Smart TV,4K
S000353,U0009,M105,2024-02-10,104,100.0,Mobile,HD
S000354,U0009,S024,2024-03-29,26,56.2,Tablet,SD
S000355,U0009,M177,2024-01-24,88,53.1,Desktop,HD
S000356,U0009,M165,2024-05-06,93,61.1,Smart TV,SD
S000357,U0009,M149,2024-02-19,98,82.4,Smart TV,SD
S000358,U0010,M041,2024-08-19,101,86.8,Smart TV,HD
S000359,U0010,M137,2024-02-18,124,100.0,Tablet,HD
S000360,U0010,M038,2024-02-29,82,51.3,Desktop,HD
S000361,U0010,M142,2024-03-06,162,95.2,Mobile,HD
S000362,U0010,M021,2024-02-19,85,58.0,Tablet,HD
S000363,U0010,M033,2024-04-01,40,33.8,Mobile,HD
S000364,U0010,M132,2024-04-25,88,83.8,Tablet,4K
S000365,U0010,M191,2024-03-25,112,81.2,Mobile,SD
S000366,U0010,M064,2024-05-29,101,90.0,Mobile,HD
S000367,U0010,S010,2024-01-08,25,50.5,Smart TV,HD
S000368,U0010,M189,2024-03-06,87,98.5,Mobile,HD
S000369,U0010,S083,2024-03-28,47,88.7,Mobile,HD
S000370,U0010,M104,2024-05-10,97,89.5,Smart TV,4K
S000371,U0010,M034,2024-01-05,103,68.5,Smart TV,4K
S000372,U0010,S056,2024-02-12,35,60.3,Mobile,HD
S000373,U0010,M127,2024-04-05,160,89.5,Mobile,HD
S000374,U0010,M102,2024-04-01,60,41.3,Mobile,HD
S000375,U0010,M054,2024-07-17,80,81.9,Smart TV,HD
S000376,U0010,M125,2024-04-06,31,19.0,Desktop,HD
S000377,U0010,S049,2024-02-27,21,57.5,Mobile,HD
S000378,U0010,M037,2024-01-20,84,94.0,Smart TV,HD
S000379,U0010,M154,2024-02-13,52,64.5,Mobile,HD
S000380,U0010,S100,2024-07-12,25,66.0,Desktop,SD
S000381,U0010,S002,2024-05-16,18,94.3,Mobile,HD
S000382,U0010,M014,2024-03-10,100,82.4,Smart TV,SD
S000383,U0010,S007,2024-08-20,38,66.8,Smart TV,4K
S000384,U0011,S040,2024-05-19,34,100.0,Mobile,SD
S000385,U0011,M024,2024-02-24,159,100.0,Mobile,4K
S000386,U0011,S026,2024-08-14,51,87.5,Mobile,HD
S000387,U0011,S064,2024-04-02,30,82.6,Smart TV,HD
S000388,U0011,S087,2024-03-07,39,71.9,Mobile,4K
S000389,U0011,S007,2024-06-26,49,85.3,Gaming Console,SD
S000390,U0011,M053,2024-04-30,149,92.2,Mobile,HD
S000391,U0011,M183,2024-02-10,61,71.0,Gaming Console,4K
S000392,U0011,S069,2024-01-11,45,93.5,Gaming Console,4K
S000393,U0011,M022,2024-07-25,121,82.8,Smart TV,SD
S000394,U0011,M200,2024-02-28,110,90.7,Mobile,SD
S000395,U0011,M007,2024-08-04,136,100.0,Mobile,HD
S000396,U0011,S054,2024-04-04,49,90.1,Desktop,4K
S000397,U0011,M126,2024-07-16,102,91.6,Smart TV,4K
S000398,U0011,M082,2024-08-30,110,81.7,Smart TV,HD
S000399,U0011,S051,2024-06-03,20,87.0,Mobile,HD
S000400,U0011,M091,2024-05-02,98,80.8,Smart TV,HD
S000401,U0011,M191,2024-03-13,129,94.2,Mobile,HD
S000402,U0011,M098,2024-05-02,138,97.6,Desktop,4K
S000403,U0011,M097,2024-03-05,129,98.7,Smart TV,HD
S000404,U0011,S020,2024-03-10,25,70.3,Mobile,HD
S000405,U0011,S032,2024-05-24,36,99.6,Smart TV,4K
S000406,U0011,S063,2024-04-28,51,100.0,Mobile,SD
S000407,U0011,S041,2024-08-22,30,90.2,Mobile,HD
S000408,U0011,M045,2024-07-20,123,100.0,Tablet,SD
S000409,U0011,S029,2024-03-03,42,100.0,Mobile,HD
S000410,U0012,S052,2024-01-07,23,42.6,Mobile,HD
S000411,U0012,S053,2024-04-05,39,90.8,Smart TV,4K
S000412,U0012,M159,2024-03-15,75,77.7,Mobile,HD
S000413,U0012,S093,2024-01-07,42,91.3,Smart TV,4K
S000414,U0012,M182,2024-08-19,168,93.8,Mobile,HD
S000415,U0012,M038,2024-01-03,147,91.9,Mobile,SD
S000416,U0012,M080,2024-04-09,26,26.4,Mobile,HD
S000417,U0012,M077,2024-01-30,98,97.1,Desktop,SD
S000418,U0012,M123,2024-04-26,111,94.3,Smart TV,HD
S000419,U0012,M021,2024-07-15,145,98.2,Desktop,4K
S000420,U0012,S091,2024-04-27,28,100.0,Smart TV,HD
S000421,U0012,S029,2024-02-25,28,68.5,Mobile,HD
S000422,U0012,S081,2024-08-23,24,84.4,Mobile,SD
S000423,U0012,M140,2024-07-02,82,76.5,Tablet,SD
S000424,U0013,S082,2024-03-28,40,88.5,Mobile,HD
S000425,U0013,M126,2024-06-07,108,96.5,Smart TV,4K
S000426,U0013,S005,2024-06-05,18,65.3,Smart TV,HD
S000427,U0013,M001,2024-07-16,121,68.0,Desktop,HD
S000428,U0013,S029,2024-01-27,38,92.1,Mobile,HD
S000429,U0013,S090,2024-07-08,31,63.5,Gaming Console,HD
