user_id,age,country,subscription_type,registration_date,total_watch_time_hours,registration_month,total_sessions,avg_session_duration,total_session_minutes,avg_completion_rate,high_engagement_rate,weekend_usage_rate,movie_preference_rate,content_variety
U0035,20,Mexico,Standard,2022-01-11,100.3,2022-01,135,88.91,12003,73.96,0.42,0.25,0.82,59
U0036,30,Mexico,Premium,2022-01-22,271.2,2022-01,32,100.06,3202,88.44,0.72,0.31,0.78,15
U0037,40,Argentina,Standard,2023-12-03,171.9,2023-12,101,91.91,9283,87.89,0.65,0.26,0.73,52
U0038,45,Mexico,Standard,2023-10-12,259.2,2023-10,29,88.83,2576,79.8,0.55,0.41,0.79,14
U0039,24,Argentina,Basic,2023-09-25,44.7,2023-09,124,78.23,9701,69.75,0.34,0.34,0.75,51
U0040,40,Mexico,Standard,2023-12-26,64.2,2023-12,37,79.0,2923,86.48,0.62,0.3,0.59,22
U0041,45,Colombia,Standard,2022-01-09,479.9,2022-01,80,79.66,6373,74.91,0.44,0.28,0.8,33
U0042,42,Argentina,Basic,2022-03-17,277.8,2022-03,118,72.42,8545,68.09,0.23,0.37,0.73,53
U0043,58,Peru,Premium,2023-02-18,43.7,2023-02,199,97.42,19387,89.15,0.77,0.35,0.73,86
U0044,38,Colombia,Basic,2022-09-26,478.3,2022-09,58,71.59,4152,80.38,0.48,0.24,0.6,31
U0045,20,Colombia,Basic,2024-02-08,313.7,2024-02,89,67.03,5966,59.89,0.25,0.28,0.78,43
U0046,44,Argentina,Premium,2022-12-23,43.3,2022-12,60,81.87,4912,88.95,0.7,0.27,0.57,31
U0047,58,Colombia,Premium,2022-06-17,797.6,2022-06,188,94.85,17831,85.4,0.62,0.22,0.78,79
U0048,44,Argentina,Standard,2022-03-07,434.0,2022-03,122,81.15,9900,74.64,0.45,0.2,0.77,54
U0049,61,Mexico,Basic,2022-05-28,173.1,2022-05,60,80.07,4804,67.39,0.3,0.38,0.75,33
U0050,33,Mexico,Basic,2024-02-01,48.4,2024-02,49,57.9,2837,70.0,0.33,0.18,0.53,27
U0051,58,Colombia,Standard,2022-02-28,412.0,2022-02,143,81.66,11678,73.19,0.36,0.19,0.79,66
U0052,42,Mexico,Basic,2023-07-05,160.0,2023-07,92,65.58,6033,62.2,0.23,0.21,0.71,45
U0053,59,Colombia,Standard,2024-03-01,495.5,2024-03,97,69.39,6731,71.73,0.39,0.43,0.73,45
U0054,42,Chile,Standard,2023-01-13,86.4,2023-01,46,83.8,3855,73.33,0.39,0.28,0.7,26
U0055,39,Chile,Basic,2023-06-14,68.6,2023-06,88,87.14,7668,82.72,0.64,0.41,0.69,36
U0056,28,Colombia,Basic,2023-08-27,219.2,2023-08,15,66.27,994,78.33,0.47,0.07,0.6,8
U0057,21,Mexico,Premium,2024-01-30,168.6,2024-01,85,103.33,8783,89.58,0.74,0.35,0.8,41
U0058,60,Colombia,Standard,2022-01-22,195.8,2022-01,121,74.38,9000,78.32,0.52,0.34,0.64,58
U0059,65,Argentina,Standard,2024-01-28,391.9,2024-01,58,79.55,4614,78.84,0.5,0.34,0.74,25
U0060,63,Mexico,Premium,2023-11-16,415.9,2023-11,46,88.33,4063,85.48,0.61,0.35,0.7,24
U0061,45,Peru,Basic,2022-01-29,87.7,2022-01,101,67.23,6790,66.82,0.29,0.39,0.7,43
U0062,38,Mexico,Standard,2023-06-14,314.7,2023-06,86,88.37,7600,85.97,0.64,0.26,0.86,41
U0063,26,Peru,Premium,2022-12-18,561.1,2022-12,38,93.58,3556,92.04,0.71,0.18,0.89,18
U0064,52,Mexico,Standard,2024-01-14,206.1,2024-01,41,86.44,3544,71.41,0.41,0.15,0.83,19
U0065,54,Chile,Basic,2022-12-15,49.9,2022-12,109,69.38,7562,58.47,0.17,0.15,0.81,53
U0066,50,Argentina,Basic,2022-09-07,109.6,2022-09,53,61.13,3240,59.82,0.25,0.17,0.7,26
U0067,38,Argentina,Premium,2022-09-28,410.2,2022-09,95,99.72,9473,91.07,0.73,0.28,0.72,44
U0068,50,Peru,Basic,2022-03-24,478.5,2022-03,70,68.71,4810,63.11,0.14,0.31,0.8,32
U0069,50,Colombia,Basic,2022-07-24,381.5,2022-07,51,66.75,3404,63.77,0.27,0.43,0.75,24
U0070,19,Colombia,Standard,2022-07-18,186.7,2022-07,66,71.21,4700,79.38,0.48,0.38,0.65,33
U0071,32,Mexico,Basic,2022-03-29,304.0,2022-03,90,81.92,7373,75.11,0.4,0.23,0.73,41
U0072,23,Peru,Standard,2022-12-16,371.9,2022-12,104,72.72,7563,73.83,0.44,0.2,0.63,48
U0073,26,Colombia,Premium,2023-07-02,168.0,2023-07,60,108.45,6507,89.24,0.75,0.4,0.83,27
U0074,48,Argentina,Basic,2023-05-20,368.0,2023-05,20,56.15,1123,56.6,0.1,0.2,0.65,10
U0075,19,Argentina,Premium,2022-09-21,791.4,2022-09,29,91.62,2657,88.05,0.66,0.34,0.69,14
U0076,54,Mexico,Premium,2023-05-13,318.3,2023-05,186,95.01,17671,86.44,0.65,0.33,0.76,78
U0077,32,Mexico,Basic,2023-05-29,463.2,2023-05,59,69.73,4114,74.64,0.34,0.19,0.63,27
U0078,57,Argentina,Basic,2023-10-13,11.6,2023-10,67,77.07,5164,65.47,0.24,0.33,0.66,38
U0079,56,Argentina,Premium,2023-09-16,873.8,2023-09,128,100.16,12820,86.57,0.66,0.32,0.76,50
U0080,39,Argentina,Standard,2023-12-14,355.8,2023-12,45,88.18,3968,86.33,0.67,0.29,0.71,22
U0081,62,Colombia,Premium,2022-02-23,336.1,2022-02,145,87.98,12757,86.03,0.67,0.28,0.65,72
U0082,47,Argentina,Basic,2023-01-06,479.3,2023-01,112,65.35,7319,58.54,0.2,0.33,0.79,55
U0083,44,Argentina,Premium,2022-11-20,371.5,2022-11,30,87.5,2625,82.71,0.5,0.17,0.7,16
U0084,46,Colombia,Premium,2022-12-18,815.2,2022-12,178,88.79,15805,84.85,0.56,0.25,0.78,76
U0085,30,Chile,Standard,2022-07-05,236.8,2022-07,39,89.62,3495,89.77,0.82,0.28,0.67,17
U0086,21,Chile,Basic,2023-03-01,213.3,2023-03,62,69.1,4284,65.53,0.4,0.19,0.74,27
U0087,34,Chile,Premium,2022-06-29,859.2,2022-06,150,95.99,14398,91.03,0.75,0.31,0.73,70
U0088,42,Peru,Basic,2023-01-13,43.9,2023-01,65,64.05,4163,65.25,0.18,0.22,0.68,33
U0089,36,Mexico,Basic,2022-05-06,455.0,2022-05,20,94.25,1885,77.93,0.5,0.1,0.95,9
U0090,50,Colombia,Standard,2023-09-12,201.5,2023-09,91,71.33,6491,71.97,0.44,0.29,0.68,47
U0091,42,Argentina,Basic,2022-02-22,297.1,2022-02,120,69.05,8286,67.32,0.25,0.35,0.67,52
U0092,37,Mexico,Premium,2022-04-21,476.2,2022-04,75,93.53,7015,92.64,0.83,0.31,0.69,37
U0093,63,Colombia,Premium,2022-11-29,232.0,2022-11,71,97.0,6887,80.73,0.42,0.21,0.79,33
U0094,46,Mexico,Standard,2022-09-30,506.4,2022-09,102,86.72,8845,73.85,0.42,0.21,0.78,48
U0095,54,Peru,Standard,2023-08-09,192.9,2023-08,105,92.24,9685,76.75,0.42,0.23,0.83,51
U0096,62,Mexico,Standard,2023-04-12,275.9,2023-04,54,84.67,4572,80.8,0.48,0.26,0.8,29
U0097,35,Colombia,Standard,2022-12-12,573.5,2022-12,114,86.43,9853,84.72,0.62,0.27,0.66,57
U0098,29,Mexico,Standard,2022-05-07,26.1,2022-05,87,86.11,7492,81.58,0.47,0.3,0.71,42
U0099,60,Mexico,Standard,2023-05-24,399.1,2023-05,31,73.52,2279,75.86,0.35,0.19,0.65,16
U0100,48,Colombia,Basic,2023-07-02,31.0,2023-07,19,71.42,1357,60.31,0.32,0.42,0.68,9
U0101,52,Colombia,Basic,2022-05-25,152.7,2022-05,22,51.45,1132,61.55,0.23,0.27,0.64,12
U0102,41,Argentina,Premium,2022-08-15,605.7,2022-08,172,93.96,16161,89.16,0.69,0.35,0.69,79
U0103,20,Chile,Standard,2023-04-20,339.3,2023-04,80,66.65,5332,69.51,0.38,0.16,0.66,43
U0104,56,Mexico,Standard,2022-10-23,384.3,2022-10,97,78.41,7606,75.72,0.42,0.25,0.71,44
U0105,18,Argentina,Basic,2022-11-25,404.4,2022-11,91,81.52,7418,71.28,0.32,0.38,0.85,43
U0106,32,Chile,Standard,2023-12-06,534.0,2023-12,125,92.37,11546,88.26,0.71,0.22,0.7,59
U0107,34,Colombia,Premium,2022-10-19,184.7,2022-10,86,103.62,8911,89.13,0.79,0.19,0.76,40
U0108,44,Colombia,Standard,2023-01-02,261.9,2023-01,135,73.9,9976,73.59,0.41,0.14,0.71,59
U0109,56,Mexico,Basic,2022-01-14,228.1,2022-01,76,74.14,5635,63.96,0.22,0.34,0.72,40
U0110,28,Chile,Basic,2022-07-22,36.1,2022-07,39,85.69,3342,78.46,0.56,0.26,0.74,20
U0111,51,Colombia,Premium,2022-06-19,691.7,2022-06,161,96.69,15567,87.51,0.72,0.29,0.76,66
U0112,51,Mexico,Premium,2022-07-18,285.0,2022-07,120,89.17,10700,89.83,0.72,0.32,0.71,52
U0113,47,Peru,Basic,2022-08-18,148.4,2022-08,49,65.45,3207,59.19,0.27,0.39,0.73,23
U0114,23,Colombia,Standard,2022-04-16,299.5,2022-04,83,87.73,7282,79.0,0.51,0.37,0.77,39
U0115,52,Colombia,Basic,2023-07-25,132.2,2023-07,66,72.98,4817,61.94,0.23,0.36,0.79,35
U0116,30,Mexico,Basic,2023-06-18,471.0,2023-06,21,74.62,1567,73.8,0.43,0.29,0.71,11
U0117,22,Mexico,Premium,2023-10-13,1034.7,2023-10,53,95.04,5037,88.93,0.77,0.28,0.74,26
U0118,44,Chile,Basic,2023-04-05,64.4,2023-04,24,65.75,1578,63.94,0.29,0.38,0.71,13
U0119,54,Colombia,Premium,2023-03-20,689.8,2023-03,194,94.89,18409,88.2,0.7,0.35,0.73,85
U0120,45,Colombia,Standard,2023-06-14,221.6,2023-06,134,79.73,10684,76.64,0.51,0.27,0.75,65
U0121,49,Mexico,Standard,2022-05-18,126.3,2022-05,84,85.56,7187,78.25,0.43,0.17,0.73,39
U0122,31,Peru,Basic,2022-09-05,486.5,2022-09,36,86.97,3131,78.43,0.56,0.22,0.69,18
U0123,33,Mexico,Standard,2022-08-02,55.2,2022-08,152,94.97,14435,86.78,0.61,0.34,0.78,72
U0124,19,Peru,Basic,2022-01-12,233.2,2022-01,65,58.52,3804,58.53,0.11,0.17,0.66,34
U0125,38,Chile,Premium,2023-07-15,49.4,2023-07,193,89.01,17178,89.46,0.76,0.27,0.69,75
U0126,33,Mexico,Standard,2024-01-19,533.4,2024-01,84,97.5,8190,87.21,0.67,0.36,0.76,42
U0127,45,Argentina,Standard,2023-12-17,183.3,2023-12,22,78.36,1724,81.9,0.55,0.41,0.64,13
U0128,29,Mexico,Premium,2022-11-08,143.5,2022-11,139,103.57,14396,90.33,0.77,0.32,0.78,64
U0129,60,Argentina,Premium,2023-10-21,742.8,2023-10,145,91.72,13300,88.86,0.7,0.29,0.7,59
U0130,31,Mexico,Basic,2023-06-12,22.7,2023-06,70,87.89,6152,78.43,0.43,0.19,0.74,35
U0131,41,Colombia,Basic,2022-06-06,238.3,2022-06,49,80.06,3923,69.84,0.29,0.18,0.73,24
U0132,44,Peru,Basic,2022-08-16,260.2,2022-08,20,71.1,1422,70.4,0.4,0.25,0.7,10
U0133,45,Colombia,Basic,2023-02-05,284.6,2023-02,98,67.62,6627,65.67,0.31,0.2,0.67,48
U0134,42,Mexico,Basic,2022-03-20,492.0,2022-03,24,72.25,1734,68.11,0.21,0.42,0.58,11
U0135,49,Colombia,Standard,2022-02-13,180.6,2022-02,86,86.23,7416,82.07,0.59,0.28,0.74,42
U0136,48,Mexico,Basic,2024-01-19,363.0,2024-01,67,66.28,4441,61.34,0.16,0.25,0.7,35
U0137,24,Mexico,Basic,2022-05-10,76.8,2022-05,69,68.57,4731,62.22,0.17,0.33,0.7,30
U0138,40,Colombia,Basic,2023-07-20,311.2,2023-07,57,76.02,4333,73.14,0.35,0.26,0.74,30
U0139,46,Argentina,Basic,2023-06-18,183.0,2023-06,65,47.45,3084,60.41,0.17,0.23,0.54,36
U0140,41,Argentina,Basic,2022-08-07,201.4,2022-08,14,97.36,1363,82.76,0.57,0.43,0.79,8
U0141,21,Chile,Basic,2022-04-19,285.1,2022-04,100,72.96,7296,66.86,0.3,0.33,0.81,46
U0142,24,Mexico,Premium,2023-08-31,738.3,2023-08,192,98.22,18859,86.31,0.64,0.19,0.74,79
U0143,65,Mexico,Standard,2022-03-26,423.8,2022-03,100,76.92,7692,75.39,0.42,0.23,0.65,49
U0144,31,Peru,Premium,2023-01-29,196.2,2023-01,53,95.11,5041,89.98,0.75,0.32,0.77,25
U0145,26,Argentina,Premium,2023-05-02,173.5,2023-05,61,103.23,6297,91.2,0.82,0.33,0.8,31
U0146,18,Colombia,Premium,2022-06-16,872.4,2022-06,111,91.08,10110,85.94,0.66,0.18,0.73,47
U0147,23,Colombia,Premium,2022-12-05,56.8,2022-12,137,100.92,13826,87.73,0.74,0.24,0.8,56
U0148,27,Mexico,Premium,2022-08-13,515.3,2022-08,175,101.51,17764,90.08,0.74,0.27,0.78,73
U0149,30,Chile,Premium,2023-11-09,416.6,2023-11,53,85.83,4549,92.12,0.85,0.19,0.62,27
U0150,21,Mexico,Standard,2022-06-05,87.2,2022-06,41,78.76,3229,79.43,0.34,0.17,0.63,22
U0151,62,Mexico,Standard,2022-04-03,81.9,2022-04,116,83.71,9710,74.53,0.49,0.31,0.73,57
U0152,20,Mexico,Basic,2023-01-03,247.9,2023-01,20,73.9,1478,66.1,0.35,0.35,0.9,8
U0153,31,Mexico,Premium,2022-09-02,250.4,2022-09,148,91.3,13513,90.14,0.76,0.33,0.64,68
U0154,45,Colombia,Standard,2022-12-16,406.9,2022-12,149,77.37,11528,76.1,0.41,0.22,0.69,63
U0155,23,Argentina,Basic,2023-11-23,16.1,2023-11,59,59.81,3529,59.62,0.2,0.2,0.68,31
U0156,38,Argentina,Standard,2023-11-17,247.6,2023-11,20,85.7,1714,90.06,0.6,0.4,0.7,11
U0157,32,Mexico,Standard,2022-03-04,46.1,2022-03,148,86.19,12756,86.22,0.68,0.28,0.71,68
U0158,22,Colombia,Premium,2022-04-23,1018.9,2022-04,170,91.24,15510,86.53,0.64,0.22,0.7,76
U0159,36,Argentina,Premium,2022-08-29,142.6,2022-08,73,95.55,6975,94.62,0.93,0.34,0.68,35
U0160,18,Argentina,Standard,2023-09-12,591.9,2023-09,134,72.39,9700,70.17,0.34,0.31,0.71,61
U0161,59,Mexico,Standard,2023-07-11,150.1,2023-07,61,70.84,4321,70.56,0.39,0.15,0.64,31
U0162,44,Peru,Basic,2023-07-23,190.2,2023-07,130,68.88,8954,60.21,0.23,0.27,0.87,57
U0163,58,Mexico,Standard,2022-05-14,458.8,2022-05,137,74.59,10219,74.72,0.47,0.35,0.69,65
U0164,20,Colombia,Premium,2023-09-10,333.9,2023-09,28,86.93,2434,80.14,0.43,0.39,0.75,13
U0165,38,Mexico,Premium,2023-12-08,844.8,2023-12,183,98.1,17952,90.34,0.78,0.3,0.77,82
U0166,40,Argentina,Premium,2023-06-03,763.7,2023-06,45,104.4,4698,91.38,0.78,0.27,0.78,24
U0167,59,Argentina,Premium,2022-10-29,88.5,2022-10,156,92.57,14441,86.27,0.7,0.25,0.72,71
U0168,64,Colombia,Basic,2022-07-08,278.0,2022-07,25,65.96,1649,68.39,0.28,0.48,0.8,12
U0169,46,Colombia,Premium,2022-04-18,738.8,2022-04,44,81.84,3601,89.4,0.77,0.3,0.66,23
U0170,65,Colombia,Basic,2023-07-01,96.6,2023-07,130,63.22,8218,61.07,0.18,0.23,0.74,58
U0171,58,Peru,Premium,2023-11-26,80.3,2023-11,51,105.55,5383,90.56,0.78,0.41,0.84,25
U0172,31,Colombia,Standard,2024-01-10,222.7,2024-01,125,86.06,10758,84.76,0.62,0.25,0.72,57
U0173,48,Mexico,Basic,2022-10-18,330.2,2022-10,26,82.38,2142,67.32,0.27,0.38,0.88,14
U0174,53,Colombia,Basic,2023-07-12,81.0,2023-07,45,57.31,2579,58.81,0.13,0.33,0.69,23
U0175,19,Chile,Premium,2022-09-24,807.6,2022-09,151,91.81,13863,86.44,0.62,0.25,0.68,66
U0176,58,Argentina,Premium,2023-11-20,160.3,2023-11,43,78.3,3367,83.51,0.58,0.37,0.56,22
U0177,30,Colombia,Basic,2023-01-10,100.2,2023-01,34,75.12,2554,71.62,0.35,0.24,0.68,20
U0178,26,Mexico,Basic,2024-01-02,336.9,2024-01,119,81.82,9737,75.66,0.44,0.25,0.8,54
U0179,35,Mexico,Basic,2022-05-05,447.5,2022-05,48,85.94,4125,81.58,0.54,0.23,0.75,24
U0180,22,Argentina,Basic,2023-01-05,41.6,2023-01,83,78.64,6527,67.3,0.27,0.24,0.8,38
U0181,34,Argentina,Basic,2023-01-05,73.7,2023-01,13,65.15,847,66.15,0.31,0.08,0.69,8
U0182,44,Argentina,Basic,2022-04-05,314.3,2022-04,98,72.65,7120,63.14,0.26,0.3,0.79,47
U0183,51,Mexico,Standard,2023-07-22,468.1,2023-07,64,94.11,6023,79.07,0.42,0.36,0.88,30
U0184,60,Argentina,Basic,2023-07-02,62.3,2023-07,120,70.09,8411,67.64,0.28,0.35,0.75,53
U0185,39,Colombia,Standard,2022-10-21,482.0,2022-10,73,85.23,6222,85.64,0.63,0.22,0.73,29
U0186,58,Peru,Standard,2024-02-20,531.0,2024-02,37,87.22,3227,78.32,0.51,0.3,0.81,15
U0187,37,Mexico,Standard,2023-03-27,574.6,2023-03,41,78.29,3210,86.6,0.59,0.15,0.51,23
U0188,18,Chile,Basic,2022-04-06,463.1,2022-04,18,58.61,1055,56.77,0.28,0.22,0.56,9
U0189,57,Chile,Standard,2022-04-14,504.2,2022-04,33,102.67,3388,75.75,0.55,0.21,0.91,16
U0190,46,Chile,Basic,2023-02-02,410.6,2023-02,14,54.14,758,65.29,0.21,0.64,0.64,8
U0191,40,Colombia,Premium,2023-11-22,196.7,2023-11,189,96.58,18253,90.36,0.76,0.26,0.76,81
U0192,26,Argentina,Premium,2023-02-01,22.4,2023-02,193,96.04,18535,89.65,0.73,0.26,0.69,80
U0193,31,Argentina,Basic,2022-09-03,458.7,2022-09,115,82.43,9480,75.46,0.47,0.31,0.74,53
U0194,44,Colombia,Premium,2022-05-13,806.9,2022-05,173,88.39,15291,87.42,0.68,0.24,0.68,73
U0195,23,Argentina,Basic,2022-06-28,300.0,2022-06,31,59.55,1846,68.77,0.16,0.1,0.52,19
U0196,44,Mexico,Basic,2022-06-22,390.9,2022-06,110,69.39,7633,60.76,0.23,0.37,0.72,46
U0197,42,Peru,Standard,2022-11-09,50.2,2022-11,78,85.64,6680,83.56,0.58,0.26,0.74,39
U0198,19,Mexico,Basic,2022-05-05,437.5,2022-05,49,72.18,3537,63.3,0.22,0.31,0.8,24
U0199,43,Mexico,Standard,2022-09-30,346.2,2022-09,68,85.68,5826,77.54,0.46,0.49,0.75,29
U0200,58,Mexico,Premium,2023-11-22,497.5,2023-11,85,100.44,8537,85.53,0.68,0.29,0.82,37
U0201,30,Colombia,Basic,2022-11-14,162.6,2022-11,97,73.31,7111,74.63,0.47,0.21,0.65,49
U0202,53,Peru,Basic,2023-11-09,158.2,2023-11,31,73.87,2290,70.04,0.39,0.29,0.74,16
U0203,19,Peru,Basic,2023-11-13,89.3,2023-11,65,68.0,4420,70.46,0.29,0.35,0.63,33
U0204,36,Argentina,Standard,2022-07-24,263.1,2022-07,26,95.08,2472,78.12,0.35,0.38,0.69,13
U0205,49,Colombia,Basic,2022-02-16,217.1,2022-02,108,62.98,6802,59.64,0.19,0.3,0.72,58
U0206,27,Mexico,Basic,2022-06-24,370.0,2022-06,72,72.76,5239,71.72,0.42,0.39,0.79,32
U0207,53,Peru,Standard,2022-08-16,485.8,2022-08,46,83.46,3839,80.51,0.48,0.46,0.76,21
U0208,22,Colombia,Standard,2023-04-05,387.2,2023-04,114,78.2,8915,79.61,0.54,0.32,0.68,54
U0209,30,Mexico,Basic,2023-02-15,289.0,2023-02,25,75.76,1894,80.14,0.56,0.12,0.56,17
U0210,45,Colombia,Premium,2023-12-30,544.1,2023-12,60,85.93,5156,82.09,0.52,0.23,0.73,28
U0211,41,Colombia,Basic,2022-03-18,473.0,2022-03,80,66.62,5330,63.25,0.22,0.19,0.71,41
U0212,31,Peru,Premium,2022-04-02,450.5,2022-04,124,105.16,13040,91.49,0.77,0.44,0.77,61
U0213,52,Colombia,Premium,2022-11-15,636.6,2022-11,186,92.7,17243,85.78,0.61,0.22,0.77,77
U0214,31,Peru,Standard,2023-11-23,33.0,2023-11,103,91.18,9392,82.87,0.5,0.27,0.74,48
U0215,59,Argentina,Standard,2023-06-22,63.0,2023-06,43,74.53,3205,72.2,0.37,0.12,0.7,20
U0216,63,Mexico,Basic,2022-02-21,378.3,2022-02,28,70.29,1968,65.05,0.21,0.18,0.82,12
U0217,64,Mexico,Basic,2023-04-29,280.3,2023-04,51,71.39,3641,64.15,0.31,0.24,0.75,22
U0218,39,Colombia,Basic,2023-11-09,99.4,2023-11,46,77.33,3557,68.07,0.26,0.17,0.7,22
U0219,60,Peru,Basic,2023-02-19,438.6,2023-02,59,76.34,4504,66.39,0.29,0.22,0.9,29
U0220,60,Argentina,Standard,2023-11-28,65.8,2023-11,20,85.1,1702,68.83,0.2,0.15,0.85,10
U0221,20,Colombia,Basic,2022-08-10,93.1,2022-08,32,75.0,2400,67.22,0.16,0.12,0.75,16
U0222,59,Chile,Basic,2022-05-20,353.9,2022-05,33,69.3,2287,67.8,0.27,0.39,0.79,16
U0223,60,Mexico,Premium,2023-08-21,284.3,2023-08,103,98.51,10147,87.99,0.69,0.33,0.78,50
U0224,50,Chile,Basic,2023-03-07,355.8,2023-03,94,80.11,7530,69.89,0.23,0.29,0.81,38
U0225,36,Colombia,Basic,2023-02-25,423.8,2023-02,76,87.88,6679,81.26,0.59,0.32,0.78,37
U0226,52,Mexico,Premium,2023-06-26,763.4,2023-06,129,93.19,12022,89.63,0.8,0.18,0.71,63
U0227,53,Colombia,Standard,2022-04-04,535.4,2022-04,18,88.28,1589,76.17,0.44,0.28,0.83,10
U0228,18,Peru,Basic,2023-08-18,336.5,2023-08,44,74.8,3291,65.54,0.27,0.36,0.75,21
U0229,27,Mexico,Basic,2023-06-17,420.0,2023-06,90,76.76,6908,74.63,0.49,0.19,0.72,44
U0230,60,Argentina,Premium,2023-09-08,107.2,2023-09,88,90.25,7942,85.07,0.58,0.2,0.69,42
U0231,59,Colombia,Basic,2022-09-10,285.5,2022-09,45,88.02,3961,71.46,0.29,0.36,0.89,21
U0232,53,Colombia,Premium,2023-05-06,44.0,2023-05,210,103.31,21695,89.98,0.8,0.29,0.78,79
U0233,36,Argentina,Basic,2024-02-10,238.0,2024-02,75,87.21,6541,78.18,0.48,0.36,0.85,34
U0234,59,Chile,Basic,2024-01-28,134.3,2024-01,92,62.04,5708,59.5,0.17,0.18,0.7,46
U0235,52,Mexico,Standard,2024-02-21,308.6,2024-02,137,93.64,12828,81.05,0.52,0.34,0.74,64
U0236,55,Mexico,Standard,2023-10-30,426.8,2023-10,139,82.53,11471,78.43,0.48,0.39,0.78,61
U0237,39,Colombia,Basic,2022-07-23,92.9,2022-07,75,81.93,6145,75.59,0.39,0.21,0.75,34
U0238,41,Peru,Basic,2022-02-23,297.1,2022-02,33,72.39,2389,71.3,0.24,0.42,0.61,14
